ID_Registro,Puesto_Empleo,Tipo_Recurso,Nombre_O_Modelo,Costo_Inversion_Inicial_USD,Gasto_Mantenimiento_Operacion_Mensual_USD,Salario_O_Licencia_Mensual_USD,Gasto_Total_Anual_USD,Horas_Operativas_Mes,Costo_Por_Hora_USD,Nivel_Eficiencia_Pct,Tasa_Error_Pct,Estado_Implementacion
REC-1022,Cajero,Empleado Real (Humano),Gabriel Vargas,332.33,121.33,894.46,12521.84,163,6.23,77.9,4.67,Activo / En Contrato
REC-1023,Cajero,Empleado Real (Humano),Daniela Pérez,347.55,115.88,854.75,11995.2,159,6.1,78.3,3.56,Activo / En Contrato
REC-1024,Cajero,Empleado Real (Humano),María Hernández,451.26,122.53,795.57,11468.44,172,5.34,68.7,4.04,Activo / En Contrato
REC-1025,Cajero,Empleado Real (Humano),Carlos Díaz,444.5,118.8,769.68,11106.28,155,5.73,80.3,2.48,Activo / En Contrato
REC-1026,Cajero,Empleado Real (Humano),Mariana Díaz,513.32,106.02,881.4,12362.36,165,5.98,81.5,1.91,Activo / En Contrato
REC-1027,Cajero,Empleado Real (Humano),Isabella Romero,362.43,119.02,816.59,11589.72,143,6.54,74.6,2.56,Activo / En Contrato
REC-1028,Cajero,Empleado Real (Humano),Lucía González,412.95,140.21,1004.31,14147.2,156,7.34,78.1,3.4,Activo / En Contrato
REC-1029,Cajero,Empleado Real (Humano),Santiago Martínez,368.06,155.99,708.41,10740.86,157,5.51,74.7,3.95,Activo / En Contrato
REC-1030,Cajero,Empleado Real (Humano),María Hernández,449.66,133.43,861.09,12383.96,171,5.82,81.3,3.08,Activo / En Contrato
REC-1031,Cajero,Empleado Real (Humano),María Pérez,494.73,104.24,862.89,12100.3,171,5.66,89.4,3.02,Activo / En Contrato
REC-1032,Cajero,Empleado Real (Humano),Sofia Morales,292.71,100.92,844.16,11633.63,176,5.37,77.9,2.25,Activo / En Contrato
REC-1033,Cajero,Empleado Real (Humano),Elena Sánchez,452.39,121.99,873.83,12402.21,159,6.26,78.6,4.17,Activo / En Contrato
REC-1034,Cajero,Empleado Real (Humano),Ana González,429.7,117.08,911.95,12778.11,158,6.51,83.5,3.72,Activo / En Contrato
REC-1035,Cajero,Empleado Real (Humano),Isabella Martínez,406.31,93.7,868.63,11954.22,152,6.33,74.9,2.64,Activo / En Contrato
REC-1036,Cajero,Empleado Real (Humano),Camila Reyes,416.95,106.42,930.56,12860.78,160,6.48,77.2,2.84,Activo / En Contrato
REC-1037,Cajero,Empleado Real (Humano),David Mendoza,459.29,111.98,849.41,11996.04,145,6.63,85.7,3.24,Activo / En Contrato
REC-1038,Cajero,Empleado Real (Humano),Lucía Díaz,421.4,125.44,890.01,12606.76,160,6.35,79.2,3.47,Activo / En Contrato
REC-1039,Cajero,Empleado Real (Humano),Santiago Romero,377.67,130.67,1005.35,14009.95,170,6.68,81.0,4.13,Activo / En Contrato
REC-1040,Cajero,Empleado Real (Humano),Santiago Díaz,397.32,134.72,769.54,11248.51,169,5.35,78.9,2.19,Activo / En Contrato
REC-1041,Cajero,Equipo Automatizado (Hardware/Robótica),FastPay Station Ultra (Unit #101),13129.59,392.93,0.0,7341.09,457,1.34,87.2,1.35,Desplegado / Producción
REC-1042,Cajero,Equipo Automatizado (Hardware/Robótica),CashFlow Pro (Unit #102),13176.99,309.3,0.0,6347.06,486,1.09,98.6,1.56,Desplegado / Producción
REC-1043,Cajero,Equipo Automatizado (Hardware/Robótica),ExpressCheckout AI-Pad (Unit #103),10006.38,363.9,0.0,6368.1,417,1.27,95.3,1.49,Desplegado / Producción
REC-1044,Cajero,Equipo Automatizado (Hardware/Robótica),SecureCash Kiosk (Unit #104),10683.58,410.32,0.0,7060.55,503,1.17,93.1,1.27,Desplegado / Producción
REC-1045,Cajero,Equipo Automatizado (Hardware/Robótica),Self-Checkout Kiosk X1 (Unit #105),9807.97,372.06,0.0,6426.34,474,1.13,95.4,1.36,Desplegado / Producción
REC-1046,Cajero,Equipo Automatizado (Hardware/Robótica),ExpressCheckout AI-Pad (Unit #106),11259.7,368.71,0.0,6676.47,466,1.19,93.5,1.12,Desplegado / Producción
REC-1047,Cajero,Equipo Automatizado (Hardware/Robótica),CashFlow Pro (Unit #107),13763.87,384.0,0.0,7360.82,419,1.46,95.3,1.61,Desplegado / Producción
REC-1048,Cajero,Equipo Automatizado (Hardware/Robótica),FastPay Station Ultra (Unit #108),11804.33,373.5,0.0,6842.89,445,1.28,90.5,1.18,Desplegado / Producción
REC-1049,Cajero,Equipo Automatizado (Hardware/Robótica),SmartPay 3000 (Unit #109),11758.43,354.51,0.0,6605.84,419,1.31,96.3,1.18,Desplegado / Producción
REC-1050,Cajero,Equipo Automatizado (Hardware/Robótica),Self-Checkout Kiosk X1 (Unit #110),9832.42,342.73,0.0,6079.27,506,1.0,93.0,1.18,Desplegado / Producción
REC-1051,Cajero,Equipo Automatizado (Hardware/Robótica),PayPoint Auto 50 (Unit #111),10852.1,233.01,0.0,4966.56,467,0.89,95.1,1.35,Desplegado / Producción
REC-1052,Cajero,Equipo Automatizado (Hardware/Robótica),SmartPay 3000 (Unit #112),11087.66,328.36,0.0,6157.8,418,1.23,94.1,1.54,Desplegado / Producción
REC-1053,Cajero,Equipo Automatizado (Hardware/Robótica),PayPoint Auto 50 (Unit #113),11949.47,358.99,0.0,6697.74,418,1.34,97.4,1.1,Desplegado / Producción
REC-1054,Cajero,Equipo Automatizado (Hardware/Robótica),SmartPay 3000 (Unit #114),11717.55,317.91,0.0,6158.49,462,1.11,93.2,1.22,Desplegado / Producción
REC-1055,Cajero,Equipo Automatizado (Hardware/Robótica),SmartPay 3000 (Unit #115),12385.89,309.2,0.0,6187.62,388,1.33,90.9,1.48,Desplegado / Producción
REC-1056,Cajero,Equipo Automatizado (Hardware/Robótica),CashFlow Pro (Unit #116),11508.9,329.31,0.0,6253.52,470,1.11,92.0,1.22,Desplegado / Producción
REC-1057,Cajero,Equipo Automatizado (Hardware/Robótica),SmartPay 3000 (Unit #117),11594.17,386.56,0.0,6957.61,524,1.11,93.5,0.91,Desplegado / Producción
REC-1058,Cajero,Equipo Automatizado (Hardware/Robótica),ExpressCheckout AI-Pad (Unit #118),12671.59,346.93,0.0,6697.42,473,1.18,95.5,0.55,Desplegado / Producción
REC-1059,Cajero,Equipo Automatizado (Hardware/Robótica),PayPoint Auto 50 (Unit #119),10181.6,384.54,0.0,6650.79,435,1.27,94.7,1.31,Desplegado / Producción
REC-1060,Cajero,Equipo Automatizado (Hardware/Robótica),SecureCash Kiosk (Unit #120),10321.96,318.68,0.0,5888.55,405,1.21,96.5,1.69,Desplegado / Producción
REC-1061,Cajero,Equipo Automatizado (Hardware/Robótica),SmartPay 3000 (Unit #121),12173.93,331.74,0.0,6415.61,443,1.21,93.7,1.59,Desplegado / Producción
REC-1062,Cajero,Equipo Automatizado (Hardware/Robótica),ExpressCheckout AI-Pad (Unit #122),13244.36,345.07,0.0,6789.66,443,1.28,90.5,1.08,Desplegado / Producción
REC-1063,Cajero,Equipo Automatizado (Hardware/Robótica),FastPay Station Ultra (Unit #123),12629.11,469.12,0.0,8155.21,450,1.51,92.6,0.99,Desplegado / Producción
REC-1064,Cajero,Equipo Automatizado (Hardware/Robótica),FastPay Station Ultra (Unit #124),13729.7,342.21,0.0,6852.43,473,1.21,92.4,1.41,Desplegado / Producción
REC-1065,Cajero,Equipo Automatizado (Hardware/Robótica),ExpressCheckout AI-Pad (Unit #125),13203.7,382.15,0.0,7226.5,471,1.28,95.4,0.7,Desplegado / Producción
REC-1066,Cajero,Equipo Automatizado (Hardware/Robótica),Self-Checkout Kiosk X1 (Unit #126),10850.33,297.96,0.0,5745.59,411,1.16,91.4,1.83,Desplegado / Producción
REC-1067,Cajero,Equipo Automatizado (Hardware/Robótica),Self-Checkout Kiosk X1 (Unit #127),13639.29,307.57,0.0,6418.73,455,1.18,91.8,1.43,Desplegado / Producción
REC-1068,Cajero,Equipo Automatizado (Hardware/Robótica),ExpressCheckout AI-Pad (Unit #128),10818.21,315.57,0.0,5950.51,417,1.19,93.1,0.98,Desplegado / Producción
REC-1069,Cajero,Equipo Automatizado (Hardware/Robótica),PayPoint Auto 50 (Unit #129),10936.64,411.24,0.0,7122.22,406,1.46,92.4,1.29,Desplegado / Producción
REC-1070,Cajero,Equipo Automatizado (Hardware/Robótica),PayPoint Auto 50 (Unit #130),11263.91,391.44,0.0,6950.09,448,1.29,95.3,0.9,Desplegado / Producción
REC-1071,Cajero,Inteligencia Artificial (Software/SaaS),SmartCount AI License #501,2060.11,99.55,227.86,5989.08,601,0.54,97.2,0.41,Fase Piloto / Licencia SaaS
REC-1072,Cajero,Inteligencia Artificial (Software/SaaS),QuickPay AI Biometrics License #502,2302.62,63.43,237.24,5910.65,566,0.53,97.1,0.58,Fase Piloto / Licencia SaaS
REC-1073,Cajero,Inteligencia Artificial (Software/SaaS),QuickPay AI Biometrics License #503,2623.85,45.2,207.2,5652.66,587,0.43,95.6,0.45,Fase Piloto / Licencia SaaS
REC-1074,Cajero,Inteligencia Artificial (Software/SaaS),QuickPay AI Biometrics License #504,2822.2,97.06,210.24,6509.77,614,0.5,96.0,0.54,Fase Piloto / Licencia SaaS
REC-1075,Cajero,Inteligencia Artificial (Software/SaaS),PayPredict Agent License #505,2720.55,94.31,202.65,6284.04,595,0.5,98.0,0.78,Fase Piloto / Licencia SaaS
REC-1076,Cajero,Inteligencia Artificial (Software/SaaS),ScanToGo Software License #506,1798.65,80.86,179.8,4926.48,568,0.46,99.4,0.5,Fase Piloto / Licencia SaaS
REC-1077,Cajero,Inteligencia Artificial (Software/SaaS),AutoRegister AI License #507,1525.75,81.39,196.63,4861.95,570,0.49,95.7,0.59,Fase Piloto / Licencia SaaS
REC-1078,Cajero,Inteligencia Artificial (Software/SaaS),QuickPay AI Biometrics License #508,1973.79,70.1,213.03,5371.34,592,0.48,95.7,0.69,Fase Piloto / Licencia SaaS
REC-1079,Cajero,Inteligencia Artificial (Software/SaaS),PayPredict Agent License #509,2621.6,67.76,210.06,5955.46,594,0.47,96.4,0.55,Fase Piloto / Licencia SaaS
REC-1080,Cajero,Inteligencia Artificial (Software/SaaS),PayPredict Agent License #510,3064.75,63.78,186.35,6066.27,634,0.39,96.8,0.4,Fase Piloto / Licencia SaaS
REC-1081,Cajero,Inteligencia Artificial (Software/SaaS),QuickPay AI Biometrics License #511,3476.99,66.67,249.37,7269.43,628,0.5,98.9,0.3,Fase Piloto / Licencia SaaS
REC-1082,Cajero,Inteligencia Artificial (Software/SaaS),AutoRegister AI License #512,2139.84,72.53,207.59,5501.3,563,0.5,98.9,0.54,Fase Piloto / Licencia SaaS
REC-1083,Cajero,Inteligencia Artificial (Software/SaaS),QuickPay AI Biometrics License #513,2455.03,63.46,251.46,6234.06,575,0.55,96.5,0.52,Fase Piloto / Licencia SaaS
REC-1084,Cajero,Inteligencia Artificial (Software/SaaS),AutoRegister AI License #514,2740.38,85.59,237.57,6618.33,557,0.58,97.5,0.61,Fase Piloto / Licencia SaaS
REC-1085,Cajero,Inteligencia Artificial (Software/SaaS),QuickPay AI Biometrics License #515,2699.87,75.45,297.48,7175.08,607,0.61,94.5,0.6,Fase Piloto / Licencia SaaS
REC-1086,Cajero,Inteligencia Artificial (Software/SaaS),ScanToGo Software License #516,2769.9,86.2,160.16,5726.24,575,0.43,96.3,0.46,Fase Piloto / Licencia SaaS
REC-1087,Cajero,Inteligencia Artificial (Software/SaaS),SmartCount AI License #517,1524.16,78.52,172.38,4534.95,626,0.4,96.9,0.59,Fase Piloto / Licencia SaaS
REC-1088,Cajero,Inteligencia Artificial (Software/SaaS),ScanToGo Software License #518,2903.99,78.92,216.16,6445.01,576,0.51,97.8,0.81,Fase Piloto / Licencia SaaS
REC-1089,Cajero,Inteligencia Artificial (Software/SaaS),QuickPay AI Biometrics License #519,2684.28,92.22,180.37,5955.35,571,0.48,97.1,0.57,Fase Piloto / Licencia SaaS
REC-1090,Cajero,Inteligencia Artificial (Software/SaaS),ScanToGo Software License #520,3013.28,97.6,187.43,6433.66,634,0.45,97.5,0.71,Fase Piloto / Licencia SaaS
REC-1091,Cajero,Inteligencia Artificial (Software/SaaS),QuickPay AI Biometrics License #521,2532.95,95.97,212.99,6240.5,606,0.51,98.5,0.75,Fase Piloto / Licencia SaaS
REC-1092,Cajero,Inteligencia Artificial (Software/SaaS),PayPredict Agent License #522,2512.13,67.28,196.8,5681.13,624,0.42,97.9,0.31,Fase Piloto / Licencia SaaS
REC-1093,Cajero,Inteligencia Artificial (Software/SaaS),ScanToGo Software License #523,2578.69,93.21,182.61,5888.57,589,0.47,97.0,0.56,Fase Piloto / Licencia SaaS
REC-1094,Cajero,Inteligencia Artificial (Software/SaaS),AutoRegister AI License #524,2830.2,70.26,222.64,6345.02,624,0.47,95.2,0.48,Fase Piloto / Licencia SaaS
REC-1095,Cajero,Inteligencia Artificial (Software/SaaS),PayPredict Agent License #525,2899.23,83.18,196.36,6253.68,588,0.48,98.4,0.65,Fase Piloto / Licencia SaaS
REC-1096,Cajero,Inteligencia Artificial (Software/SaaS),SmartCount AI License #526,2818.6,64.62,282.72,6986.64,605,0.57,97.0,0.6,Fase Piloto / Licencia SaaS
REC-1097,Cajero,Inteligencia Artificial (Software/SaaS),SmartCount AI License #527,2480.9,76.01,206.63,5872.55,609,0.46,97.1,0.67,Fase Piloto / Licencia SaaS
REC-1098,Cajero,Inteligencia Artificial (Software/SaaS),QuickPay AI Biometrics License #528,2143.88,78.21,221.08,5735.46,588,0.51,96.7,0.64,Fase Piloto / Licencia SaaS
REC-1099,Cajero,Inteligencia Artificial (Software/SaaS),QuickPay AI Biometrics License #529,2234.06,78.21,200.37,5576.98,659,0.42,96.2,0.56,Fase Piloto / Licencia SaaS
REC-1100,Cajero,Inteligencia Artificial (Software/SaaS),AutoRegister AI License #530,2542.81,94.31,236.03,6506.97,603,0.55,97.3,0.88,Fase Piloto / Licencia SaaS
REC-1101,Guardia de seguridad,Empleado Real (Humano),Ignacio Gómez,570.49,133.86,898.46,12958.38,172,6.0,83.7,3.73,Activo / En Contrato
REC-1102,Guardia de seguridad,Empleado Real (Humano),Miguel López,385.68,180.24,922.77,13621.86,192,5.74,81.8,3.58,Activo / En Contrato
REC-1103,Guardia de seguridad,Empleado Real (Humano),Miguel Gómez,465.63,143.73,976.04,13902.89,182,6.15,76.4,5.61,Activo / En Contrato
REC-1104,Guardia de seguridad,Empleado Real (Humano),Eduardo Gómez,368.77,146.83,976.01,13842.79,180,6.24,72.4,4.75,Activo / En Contrato
REC-1105,Guardia de seguridad,Empleado Real (Humano),Alejandro Reyes,489.82,161.56,949.38,13821.01,199,5.58,89.9,5.72,Activo / En Contrato
REC-1106,Guardia de seguridad,Empleado Real (Humano),Gustavo Rodríguez,514.2,130.75,1008.13,14180.82,178,6.4,89.8,3.66,Activo / En Contrato
REC-1107,Guardia de seguridad,Empleado Real (Humano),Arturo Reyes,603.2,163.89,1120.69,16018.16,166,7.74,82.3,4.81,Activo / En Contrato
REC-1108,Guardia de seguridad,Empleado Real (Humano),Mauricio Reyes,451.01,176.11,1031.9,14947.11,182,6.64,76.6,6.5,Activo / En Contrato
REC-1109,Guardia de seguridad,Empleado Real (Humano),Héctor Álvarez,408.17,148.04,948.08,13561.56,192,5.71,86.4,3.18,Activo / En Contrato
REC-1110,Guardia de seguridad,Empleado Real (Humano),Esteban Hernández,668.26,155.92,912.25,13486.27,189,5.65,82.5,4.25,Activo / En Contrato
REC-1111,Guardia de seguridad,Empleado Real (Humano),Arturo Castillo,551.54,154.61,953.48,13848.7,183,6.06,81.2,4.95,Activo / En Contrato
REC-1112,Guardia de seguridad,Empleado Real (Humano),Rafael Gómez,559.76,156.88,978.99,14190.18,199,5.71,73.5,3.63,Activo / En Contrato
REC-1113,Guardia de seguridad,Empleado Real (Humano),Alejandro Flores,564.59,170.82,1034.15,15024.26,178,6.77,83.8,4.32,Activo / En Contrato
REC-1114,Guardia de seguridad,Empleado Real (Humano),Oscar Hernández,476.23,221.43,933.84,14339.45,179,6.45,65.5,5.11,Activo / En Contrato
REC-1115,Guardia de seguridad,Empleado Real (Humano),Adrián Reyes,494.05,120.1,848.78,12120.67,172,5.63,86.2,3.48,Activo / En Contrato
REC-1116,Guardia de seguridad,Empleado Real (Humano),Mauricio Rodríguez,541.65,158.96,980.8,14218.8,167,6.82,90.7,3.65,Activo / En Contrato
REC-1117,Guardia de seguridad,Empleado Real (Humano),Arturo López,492.83,172.03,821.06,12409.89,191,5.2,75.5,2.74,Activo / En Contrato
REC-1118,Guardia de seguridad,Empleado Real (Humano),Roberto Ruiz,454.88,179.37,917.36,13615.69,147,7.46,79.1,0.98,Activo / En Contrato
REC-1119,Guardia de seguridad,Empleado Real (Humano),Miguel Torres,654.03,162.82,855.76,12876.94,182,5.6,80.1,3.63,Activo / En Contrato
REC-1120,Guardia de seguridad,Empleado Real (Humano),Rafael Álvarez,605.96,179.12,955.23,14218.17,193,5.88,68.1,2.83,Activo / En Contrato
REC-1121,Guardia de seguridad,Empleado Real (Humano),Adrián Pérez,415.87,130.16,1036.84,14419.8,170,6.86,68.8,4.54,Activo / En Contrato
REC-1122,Guardia de seguridad,Empleado Real (Humano),Raúl Álvarez,471.28,128.02,1012.33,14155.51,177,6.44,68.9,3.96,Activo / En Contrato
REC-1123,Guardia de seguridad,Empleado Real (Humano),Enrique González,664.56,147.73,946.89,13800.01,175,6.25,81.7,3.23,Activo / En Contrato
REC-1124,Guardia de seguridad,Empleado Real (Humano),Rodrigo Romero,482.5,157.88,963.23,13935.8,179,6.26,89.6,2.79,Activo / En Contrato
REC-1125,Guardia de seguridad,Empleado Real (Humano),Ignacio Ruiz,563.14,182.59,850.91,12965.22,178,5.81,76.7,3.81,Activo / En Contrato
REC-1126,Guardia de seguridad,Empleado Real (Humano),Raúl Ruiz,610.22,130.92,914.28,13152.61,189,5.53,76.6,3.57,Activo / En Contrato
REC-1127,Guardia de seguridad,Empleado Real (Humano),Raúl Vargas,426.53,171.78,867.25,12894.92,192,5.41,77.1,5.08,Activo / En Contrato
REC-1128,Guardia de seguridad,Empleado Real (Humano),Miguel Flores,469.05,125.54,890.2,12657.89,164,6.19,80.1,3.57,Activo / En Contrato
REC-1129,Guardia de seguridad,Empleado Real (Humano),Gonzalo Martínez,447.1,153.8,951.64,13712.38,190,5.82,77.6,3.58,Activo / En Contrato
REC-1130,Guardia de seguridad,Empleado Real (Humano),Raúl Ruiz,666.0,152.7,901.56,13317.06,179,5.89,77.4,2.33,Activo / En Contrato
REC-1131,Guardia de seguridad,Empleado Real (Humano),Ignacio Morales,449.77,146.99,1003.26,14252.79,205,5.61,78.0,5.13,Activo / En Contrato
REC-1132,Guardia de seguridad,Empleado Real (Humano),Rodrigo López,432.78,162.41,829.44,12334.98,178,5.57,80.6,3.24,Activo / En Contrato
REC-1133,Guardia de seguridad,Empleado Real (Humano),Alejandro Flores,523.39,127.7,943.56,13378.51,186,5.76,72.9,4.2,Activo / En Contrato
REC-1134,Guardia de seguridad,Empleado Real (Humano),Ignacio Martínez,448.22,131.01,911.64,12959.99,184,5.67,72.1,4.85,Activo / En Contrato
REC-1135,Guardia de seguridad,Empleado Real (Humano),Ignacio Díaz,508.42,146.06,883.05,12857.75,150,6.86,83.4,5.71,Activo / En Contrato
REC-1136,Guardia de seguridad,Empleado Real (Humano),Gustavo Castillo,523.35,151.42,974.08,14029.33,189,5.96,84.2,2.97,Activo / En Contrato
REC-1137,Guardia de seguridad,Empleado Real (Humano),Gabriel Reyes,485.74,164.84,963.97,14031.53,182,6.2,78.4,5.18,Activo / En Contrato
REC-1138,Guardia de seguridad,Empleado Real (Humano),Gonzalo Castillo,440.95,173.41,943.09,13838.95,193,5.78,77.6,3.99,Activo / En Contrato
REC-1139,Guardia de seguridad,Empleado Real (Humano),Miguel Cruz,482.77,216.89,1089.24,16156.23,184,7.1,62.2,2.69,Activo / En Contrato
REC-1140,Guardia de seguridad,Empleado Real (Humano),Ignacio Gómez,436.71,133.36,1003.32,14076.89,168,6.77,78.0,5.08,Activo / En Contrato
REC-1141,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),AeroPatrol Tower (Unit #101),26381.83,671.63,0.0,13335.92,740,1.5,94.3,1.97,Desplegado / Producción
REC-1142,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),VisionTower Pro (Unit #102),25875.03,530.8,0.0,11544.58,719,1.34,90.7,2.56,Desplegado / Producción
REC-1143,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),PatrolBot V2 (Unit #103),29605.09,600.51,0.0,13127.09,740,1.48,96.3,2.1,Desplegado / Producción
REC-1144,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),SentryBot Defense (Unit #104),25189.41,593.84,0.0,12163.99,731,1.39,90.0,1.65,Desplegado / Producción
REC-1145,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),SentryBot Defense (Unit #105),26925.94,581.76,0.0,12366.27,729,1.41,93.7,1.67,Desplegado / Producción
REC-1146,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),VisionTower Pro (Unit #106),31038.6,639.56,0.0,13882.45,704,1.64,93.8,1.85,Desplegado / Producción
REC-1147,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),VisionTower Pro (Unit #107),29710.33,631.72,0.0,13522.73,729,1.55,93.6,2.29,Desplegado / Producción
REC-1148,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),GuardEye-X Drone (Unit #108),25053.12,533.58,0.0,11413.54,754,1.26,92.4,1.54,Desplegado / Producción
REC-1149,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),PatrolBot V2 (Unit #109),29914.47,562.39,0.0,12731.62,704,1.51,94.9,1.25,Desplegado / Producción
REC-1150,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),RoboGuard Sentinel (Unit #110),28262.48,478.23,0.0,11391.23,754,1.26,91.8,2.37,Desplegado / Producción
REC-1151,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),Sentinel 360 (Unit #111),22408.35,501.6,0.0,10500.9,713,1.23,91.2,1.94,Desplegado / Producción
REC-1152,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),RoboGuard Sentinel (Unit #112),24439.22,656.01,0.0,12759.92,705,1.51,88.2,2.49,Desplegado / Producción
REC-1153,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),RoboGuard Sentinel (Unit #113),28497.63,585.41,0.0,12724.47,704,1.51,90.4,1.9,Desplegado / Producción
REC-1154,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),PatrolBot V2 (Unit #114),23526.18,578.19,0.0,11643.49,720,1.35,94.2,2.04,Desplegado / Producción
REC-1155,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),GuardEye-X Drone (Unit #115),27089.93,553.52,0.0,12060.23,737,1.36,92.0,2.41,Desplegado / Producción
REC-1156,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),VisionTower Pro (Unit #116),34175.9,586.35,0.0,13871.39,706,1.64,94.7,1.71,Desplegado / Producción
REC-1157,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),SentryBot Defense (Unit #117),29231.14,537.56,0.0,12296.93,699,1.47,90.3,1.74,Desplegado / Producción
REC-1158,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),PatrolBot V2 (Unit #118),24069.38,637.99,0.0,12469.78,682,1.52,91.5,1.35,Desplegado / Producción
REC-1159,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),SentryBot Defense (Unit #119),31348.1,555.5,0.0,12935.63,732,1.47,94.3,1.65,Desplegado / Producción
REC-1160,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),RoboGuard Sentinel (Unit #120),26040.83,645.18,0.0,12950.27,711,1.52,94.5,2.11,Desplegado / Producción
REC-1161,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),AeroPatrol Tower (Unit #121),26884.66,612.75,0.0,12729.97,714,1.49,89.8,1.85,Desplegado / Producción
REC-1162,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),GuardEye-X Drone (Unit #122),31546.99,678.63,0.0,14452.97,738,1.63,93.4,1.83,Desplegado / Producción
REC-1163,Guardia de seguridad,Equipo Automatizado (Hardware/Robótica),Sentinel 360 (Unit #123),28743.35,672.17,0.0,13814.73,724,1.59,90.7,1.42,Desplegado / Producción
